,ID,What environment did you use for the hackathon?,In what capacity did you participate?,Were you able to join any of the below technical training? ,"Before I participated in the hackathon, I would rate my skills on cloud tooling as ","After I participated in the hackathon, I would rate my skills on cloud tooling as ","Before I participated in the hackathon, I would rate my skills on GenAI models as ","After I participated in the hackathon, I would rate my skills on GenAI models as ",To what extent do your learnings from the hackathon feel relevant for your day to day work?,comments,answer
151,65,Azure,1-day hackathon,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,"None - It was simply good fun, or an interesting academic exercise without direct relevance to my role",,
152,66,Azure,1-day hackathon,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Considerable - My new skills or learnings acquired feel immediately relevant to problem solving in my role,,
153,67,GCP,3-day hackathon,Live technical Google / Azure session;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Somewhat - There is some relevance but not linked directly,I learned a lot from both the sessions and the experience itself - the one point of feedback is there was quite a lot of resistance in starting this hackathon journey because it required going out to find your team.,Team Formation and Dynamics
154,68,Azure,Technical learning session(s) only,Recording or self-paced Google / Azure training;,0. No idea about it,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I am comfortable using standard GenAI models for specific tasks ,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Considerable - My new skills or learnings acquired feel immediately relevant to problem solving in my role,,
155,69,GCP,1-day hackathon,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Considerable - My new skills or learnings acquired feel immediately relevant to problem solving in my role,"It was the first time that so many trainign sessions were run which other offices could also attend easily. I was busy, so couldn't get started earlier, but would try to give a lot more time next time.",
156,70,Both,3-day hackathon,Recording or self-paced Google / Azure training;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,"None - It was simply good fun, or an interesting academic exercise without direct relevance to my role",The overall experience and participation was great - everyone was keen to contribute and solve the problems,
157,71,GCP,1-day hackathon,Neither;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Somewhat - There is some relevance but not linked directly,"It was well organised. 

There felt like a high barrier to entry to getting started on the hackathon. Lots to learn and lots to do to prepare for the hackathon. It made it hard to juggle on top of my regular job.",Time Commitment / Workload
158,72,GCP,1-day hackathon,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,Somewhat - There is some relevance but not linked directly,,
159,73,Neither - I didn't hack,None of the above; observer,,,,,,,My response is more to do with the availability of plenty of resources to participate,
160,74,GCP,1-day hackathon,Live technical Google / Azure session;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,"None - It was simply good fun, or an interesting academic exercise without direct relevance to my role",i would like to work more gen ai projects in Quantium,
161,75,GCP,3-day hackathon,Recording or self-paced Google / Azure training;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,3. Advanced -  I understand the tuning of standard GenAI models,3. Advanced -  I understand the tuning of standard GenAI models,Considerable - My new skills or learnings acquired feel immediately relevant to problem solving in my role,,
162,76,Neither - I didn't hack,Technical learning session(s) only,Live technical Google / Azure session;,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I developed some understanding of standard GenAI models,1. Beginner - I developed some understanding of standard GenAI models,Somewhat - There is some relevance but not linked directly,,
163,77,GCP,3-day hackathon,Recording or self-paced Google / Azure training;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Somewhat - There is some relevance but not linked directly,Great opportunity to learn about new technologies and exercise technical skills outside of day to day role.,Accessibility and Inclusion
164,78,Neither - I didn't hack,1-day hackathon,Neither;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,Somewhat - There is some relevance but not linked directly,Important learning opportunity for many people and roles,
165,79,GCP,3-day hackathon,Neither;,3. Advanced -  I can design and implement valuable and scalable architectures with cloud service ,3. Advanced -  I can design and implement valuable and scalable architectures with cloud service ,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Somewhat - There is some relevance but not linked directly,"While I found it very informative playing around with the models against a specific use case, I found working in a satellite office made it particularly difficult to participate fully. Also balancing client deliverables, particularly urgent ones meant that my participation was limited.",Accessibility and Inclusion
166,80,GCP,1-day hackathon,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Considerable - My new skills or learnings acquired feel immediately relevant to problem solving in my role,,
167,81,GCP,3-day hackathon,Live technical Google / Azure session;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,3. Advanced -  I understand the tuning of standard GenAI models,3. Advanced -  I understand the tuning of standard GenAI models,Considerable - My new skills or learnings acquired feel immediately relevant to problem solving in my role,"Every once in a while, a breakthrough technology hits the market and changes everything. Hackathons are the quickest way to generate organizational interest, knowledge, and curiosity in these technologies. ",
168,82,GCP,1-day hackathon,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,0. No idea about it,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,Somewhat - There is some relevance but not linked directly,,
169,83,GCP,1-day hackathon,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,Somewhat - There is some relevance but not linked directly,,
170,84,GCP,1-day hackathon,Live technical Google / Azure session;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,"None - It was simply good fun, or an interesting academic exercise without direct relevance to my role",The mentor checkins were great - the ease of tooling environment set up was seamless. ,Support from Leadership / Mentors
171,85,GCP,3-day hackathon,Live technical Google / Azure session;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,0. Very little or no idea about GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Considerable - My new skills or learnings acquired feel immediately relevant to problem solving in my role,,
172,86,GCP,1-day hackathon,Recording or self-paced Google / Azure training;,0. No idea about it,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Considerable - My new skills or learnings acquired feel immediately relevant to problem solving in my role,,
173,87,GCP,3-day hackathon,Neither;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Somewhat - There is some relevance but not linked directly,"i enjoy participating in hackathons, but sometimes client need and vacations don't align",Time Commitment / Workload
